id,produit,categorie,ville,prix,quantite,montant_total,date
3323,Imprimante laser,Bureautique,Tanger,2401,6,14406,2026-02-26
3324,Clavier mecanique,Accessoires,Safi,490,10,4900,2026-05-18
3325,Ordinateur portable,Informatique,Tanger,8615,1,8615,2026-02-18
3326,Switch 24 ports,Reseau,Casablanca,2131,10,21310,2026-03-29
3327,Webcam HD,Accessoires,Tanger,421,18,7578,2026-04-17
3328,Switch 24 ports,Reseau,Errachidia,2483,2,4966,2026-05-29
3329,Disque SSD 1To,Stockage,Casablanca,1307,17,22219,2026-02-09
3330,Webcam HD,Accessoires,Agadir,376,12,4512,2026-01-24
3331,Serveur NAS,Stockage,Rabat,5904,9,53136,2026-03-05
3332,Clavier mecanique,Accessoires,Casablanca,411,18,7398,2026-05-26
3333,Ordinateur portable,Informatique,Oujda,8898,1,8898,2026-03-09
3334,Webcam HD,Accessoires,Agadir,472,15,7080,2026-04-13
3335,Clavier mecanique,Accessoires,Errachidia,498,18,8964,2026-03-05
3336,Casque audio,Accessoires,Oujda,337,4,1348,2026-01-31
3337,Casque audio,Accessoires,Kenitra,359,7,2513,2026-05-18
3338,Ecran 24 pouces,Informatique,Kenitra,1677,11,18447,2026-04-29
3339,Casque audio,Accessoires,Dakhla,350,12,4200,2026-02-14
3340,Ecran 24 pouces,Informatique,Meknes,2021,20,40420,2026-02-14
3341,Switch 24 ports,Reseau,Marrakech,2307,17,39219,2026-05-09
3342,Scanner,Bureautique,Rabat,1210,6,7260,2026-03-24
3343,Serveur NAS,Stockage,Kenitra,6142,17,104414,2026-05-23
3344,Routeur WiFi,Reseau,Beni Mellal,737,11,8107,2026-02-23
3345,Clavier mecanique,Accessoires,Dakhla,438,14,6132,2026-05-26
3346,Switch 24 ports,Reseau,Laayoune,2122,7,14854,2026-04-10
3347,Disque SSD 1To,Stockage,Fes,967,12,11604,2026-05-03
3348,Clavier mecanique,Accessoires,Laayoune,439,6,2634,2026-05-18
3349,Imprimante laser,Bureautique,Agadir,2573,1,2573,2026-03-31
3350,Disque SSD 1To,Stockage,Tanger,1217,19,23123,2026-03-24
3351,Clavier mecanique,Accessoires,Safi,462,9,4158,2026-01-28
3352,Tablette graphique,Informatique,Kenitra,1457,9,13113,2026-01-05
3353,Imprimante laser,Bureautique,Oujda,1978,20,39560,2026-04-29
3354,Onduleur,Bureautique,Rabat,1236,6,7416,2026-03-31
3355,Webcam HD,Accessoires,Meknes,489,20,9780,2026-03-30
3356,Switch 24 ports,Reseau,Safi,2435,20,48700,2026-03-24
3357,Ecran 24 pouces,Informatique,Laayoune,1751,19,33269,2026-05-04
3358,Scanner,Bureautique,Dakhla,1151,11,12661,2026-01-07
3359,Webcam HD,Accessoires,Settat,476,14,6664,2026-02-04
3360,Ordinateur portable,Informatique,Agadir,9862,9,88758,2026-01-22
3361,Switch 24 ports,Reseau,Laayoune,1940,19,36860,2026-01-12
3362,Disque SSD 1To,Stockage,Tetouan,1038,17,17646,2026-03-20
3363,Webcam HD,Accessoires,Safi,368,11,4048,2026-01-10
3364,Clavier mecanique,Accessoires,Errachidia,455,18,8190,2026-03-23
3365,Onduleur,Bureautique,Taza,1478,8,11824,2026-05-26
3366,Imprimante laser,Bureautique,Kenitra,2064,7,14448,2026-01-15
3367,Disque SSD 1To,Stockage,Marrakech,1017,3,3051,2026-03-08
3368,Ordinateur portable,Informatique,Agadir,7280,16,116480,2026-05-30
3369,Tablette graphique,Informatique,El Jadida,1806,13,23478,2026-01-16
3370,Casque audio,Accessoires,Oujda,370,13,4810,2026-01-31
3371,Casque audio,Accessoires,Meknes,398,2,796,2026-05-22
3372,Imprimante laser,Bureautique,Fes,2634,9,23706,2026-01-17
3373,Disque SSD 1To,Stockage,Errachidia,1154,12,13848,2026-04-14
3374,Souris sans fil,Accessoires,Dakhla,111,20,2220,2026-02-28
3375,Switch 24 ports,Reseau,Laayoune,2051,10,20510,2026-04-02
3376,Serveur NAS,Stockage,Dakhla,6645,5,33225,2026-02-24
3377,Disque SSD 1To,Stockage,Safi,960,6,5760,2026-02-24
3378,Casque audio,Accessoires,Safi,361,14,5054,2026-05-03
3379,Tablette graphique,Informatique,Laayoune,1566,12,18792,2026-03-07
3380,Scanner,Bureautique,Dakhla,1182,7,8274,2026-01-02
3381,Casque audio,Accessoires,Meknes,299,17,5083,2026-04-19
3382,Clavier mecanique,Accessoires,Tanger,402,7,2814,2026-03-20
3383,Serveur NAS,Stockage,Dakhla,6246,7,43722,2026-05-08
3384,Disque SSD 1To,Stockage,Casablanca,995,13,12935,2026-03-13
3385,Ordinateur portable,Informatique,Rabat,7678,17,130526,2026-02-15
3386,Disque SSD 1To,Stockage,Casablanca,983,4,3932,2026-02-24
3387,Projecteur,Bureautique,Laayoune,4654,16,74464,2026-04-23
3388,Routeur WiFi,Reseau,Taza,692,1,692,2026-03-12
3389,Ecran 24 pouces,Informatique,Kenitra,1824,15,27360,2026-03-17
3390,Switch 24 ports,Reseau,Rabat,2496,11,27456,2026-03-19
3391,Imprimante laser,Bureautique,Errachidia,2651,5,13255,2026-05-18
3392,Routeur WiFi,Reseau,Fes,749,3,2247,2026-03-09
3393,Onduleur,Bureautique,El Jadida,1277,10,12770,2026-03-01
3394,Ecran 24 pouces,Informatique,Rabat,1851,6,11106,2026-02-11
3395,Webcam HD,Accessoires,Settat,423,20,8460,2026-04-14
3396,Disque SSD 1To,Stockage,Rabat,1232,1,1232,2026-01-21
3397,Disque SSD 1To,Stockage,Rabat,1026,12,12312,2026-01-24
3398,Projecteur,Bureautique,Safi,4596,7,32172,2026-02-10
3399,Ecran 24 pouces,Informatique,Meknes,1995,4,7980,2026-05-20
3400,Projecteur,Bureautique,Safi,4634,6,27804,2026-02-16
3401,Onduleur,Bureautique,Mohammedia,1249,6,7494,2026-03-17
3402,Casque audio,Accessoires,Laayoune,354,12,4248,2026-01-16
3403,Routeur WiFi,Reseau,Fes,780,2,1560,2026-03-15
3404,Tablette graphique,Informatique,Oujda,1563,17,26571,2026-01-21
3405,Souris sans fil,Accessoires,Fes,136,7,952,2026-03-13
3406,Switch 24 ports,Reseau,Dakhla,2300,9,20700,2026-01-03
3407,Scanner,Bureautique,Dakhla,1367,17,23239,2026-03-25
3408,Disque SSD 1To,Stockage,Meknes,1020,20,20400,2026-02-27
3409,Projecteur,Bureautique,Errachidia,4505,16,72080,2026-03-31
3410,Serveur NAS,Stockage,Meknes,6641,3,19923,2026-05-01
3411,Webcam HD,Accessoires,El Jadida,433,13,5629,2026-04-09
3412,Imprimante laser,Bureautique,Kenitra,2672,11,29392,2026-05-26
3413,Scanner,Bureautique,Tetouan,1551,2,3102,2026-02-19
3414,Routeur WiFi,Reseau,Settat,874,13,11362,2026-02-14
3415,Webcam HD,Accessoires,Oujda,468,16,7488,2026-03-08
3416,Scanner,Bureautique,Tetouan,1255,18,22590,2026-02-24
3417,Scanner,Bureautique,Taza,1181,7,8267,2026-05-26
3418,Switch 24 ports,Reseau,Errachidia,2340,5,11700,2026-05-12
3419,Imprimante laser,Bureautique,Rabat,2662,18,47916,2026-01-29
3420,Imprimante laser,Bureautique,Oujda,2504,6,15024,2026-03-27
3421,Onduleur,Bureautique,Safi,1364,3,4092,2026-05-01
3422,Switch 24 ports,Reseau,Agadir,1944,11,21384,2026-05-24
3423,Onduleur,Bureautique,Nador,1396,17,23732,2026-04-15
3424,Serveur NAS,Stockage,Dakhla,6867,11,75537,2026-03-22
3425,Switch 24 ports,Reseau,Meknes,2145,4,8580,2026-01-20
3426,Ordinateur portable,Informatique,El Jadida,9706,2,19412,2026-04-22
3427,Onduleur,Bureautique,Taza,1269,11,13959,2026-05-20
3428,Tablette graphique,Informatique,Nador,1450,2,2900,2026-01-01
3429,Webcam HD,Accessoires,Casablanca,450,7,3150,2026-03-27
3430,Webcam HD,Accessoires,Agadir,370,5,1850,2026-03-10
3431,Ecran 24 pouces,Informatique,Fes,1744,12,20928,2026-05-18
3432,Routeur WiFi,Reseau,Laayoune,864,20,17280,2026-04-09
3433,Onduleur,Bureautique,Tanger,1310,6,7860,2026-02-05
3434,Switch 24 ports,Reseau,Rabat,2210,11,24310,2026-02-02
3435,Souris sans fil,Accessoires,Laayoune,130,12,1560,2026-03-01
3436,Imprimante laser,Bureautique,Rabat,2252,12,27024,2026-03-02
3437,Casque audio,Accessoires,Fes,347,3,1041,2026-04-18
3438,Tablette graphique,Informatique,Laayoune,1544,5,7720,2026-02-27
3439,Ordinateur portable,Informatique,Agadir,9553,12,114636,2026-05-27
3440,Webcam HD,Accessoires,Taza,376,4,1504,2026-04-13
3441,Onduleur,Bureautique,Taza,1514,6,9084,2026-02-04
3442,Onduleur,Bureautique,El Jadida,1707,5,8535,2026-01-06
3443,Routeur WiFi,Reseau,Dakhla,837,2,1674,2026-03-14
3444,Clavier mecanique,Accessoires,Tetouan,479,7,3353,2026-05-02
3445,Casque audio,Accessoires,Laayoune,333,8,2664,2026-03-26
3446,Webcam HD,Accessoires,Tanger,461,16,7376,2026-04-07
3447,Webcam HD,Accessoires,Laayoune,443,18,7974,2026-04-16
3448,Ecran 24 pouces,Informatique,Oujda,1943,4,7772,2026-05-11
3449,Serveur NAS,Stockage,Agadir,5282,15,79230,2026-03-11
3450,Projecteur,Bureautique,Tanger,5583,3,16749,2026-05-11
3451,Scanner,Bureautique,Marrakech,1249,20,24980,2026-04-23
3452,Scanner,Bureautique,Oujda,1245,19,23655,2026-03-16
3453,Projecteur,Bureautique,Rabat,5883,9,52947,2026-04-21
3454,Imprimante laser,Bureautique,Dakhla,2695,6,16170,2026-02-08
3455,Webcam HD,Accessoires,El Jadida,439,9,3951,2026-01-27
3456,Serveur NAS,Stockage,Taza,6718,8,53744,2026-02-14
3457,Onduleur,Bureautique,Tetouan,1608,10,16080,2026-01-31
3458,Projecteur,Bureautique,Oujda,5485,17,93245,2026-03-20
3459,Tablette graphique,Informatique,Safi,1706,7,11942,2026-05-21
3460,Switch 24 ports,Reseau,Laayoune,2064,19,39216,2026-05-15
3461,Switch 24 ports,Reseau,Tanger,2428,8,19424,2026-05-29
3462,Ecran 24 pouces,Informatique,Errachidia,2012,20,40240,2026-02-27
3463,Ordinateur portable,Informatique,El Jadida,9378,18,168804,2026-05-21
3464,Routeur WiFi,Reseau,Oujda,897,17,15249,2026-03-28
3465,Ordinateur portable,Informatique,Agadir,7964,7,55748,2026-03-24
3466,Ordinateur portable,Informatique,Fes,8708,4,34832,2026-01-22
3467,Souris sans fil,Accessoires,Agadir,124,13,1612,2026-05-19
3468,Ordinateur portable,Informatique,Nador,8637,17,146829,2026-03-22
3469,Routeur WiFi,Reseau,Laayoune,815,2,1630,2026-05-20
3470,Webcam HD,Accessoires,Dakhla,489,16,7824,2026-01-28
3471,Tablette graphique,Informatique,Kenitra,1897,10,18970,2026-03-10
3472,Switch 24 ports,Reseau,Oujda,2417,1,2417,2026-02-21
3473,Imprimante laser,Bureautique,Tanger,2323,9,20907,2026-01-13
3474,Switch 24 ports,Reseau,Taza,2403,4,9612,2026-02-03
3475,Souris sans fil,Accessoires,Beni Mellal,136,20,2720,2026-01-28
3476,Switch 24 ports,Reseau,Fes,2220,17,37740,2026-01-17
3477,Souris sans fil,Accessoires,Kenitra,102,11,1122,2026-04-03
3478,Scanner,Bureautique,Kenitra,1213,14,16982,2026-01-31
3479,Routeur WiFi,Reseau,Marrakech,737,10,7370,2026-03-15
3480,Onduleur,Bureautique,Safi,1285,2,2570,2026-04-24
3481,Tablette graphique,Informatique,Errachidia,1760,18,31680,2026-03-11
3482,Imprimante laser,Bureautique,Kenitra,2357,15,35355,2026-04-27
3483,Imprimante laser,Bureautique,Agadir,2725,6,16350,2026-05-01
3484,Serveur NAS,Stockage,Beni Mellal,6705,17,113985,2026-05-24
3485,Ecran 24 pouces,Informatique,El Jadida,2132,9,19188,2026-05-14
3486,Ecran 24 pouces,Informatique,Rabat,1632,13,21216,2026-04-08
3487,Casque audio,Accessoires,Meknes,302,5,1510,2026-02-03
3488,Routeur WiFi,Reseau,Fes,846,8,6768,2026-03-07
3489,Ecran 24 pouces,Informatique,Tetouan,1966,10,19660,2026-03-22
3490,Routeur WiFi,Reseau,Casablanca,842,11,9262,2026-04-07
3491,Imprimante laser,Bureautique,El Jadida,2292,13,29796,2026-01-27
3492,Souris sans fil,Accessoires,Settat,122,17,2074,2026-02-25
3493,Routeur WiFi,Reseau,Tetouan,708,13,9204,2026-01-21
3494,Onduleur,Bureautique,Oujda,1407,8,11256,2026-04-20
3495,Routeur WiFi,Reseau,Settat,758,12,9096,2026-01-17
3496,Ecran 24 pouces,Informatique,Nador,1860,13,24180,2026-01-11
3497,Imprimante laser,Bureautique,El Jadida,2606,2,5212,2026-03-01
3498,Routeur WiFi,Reseau,Mohammedia,734,14,10276,2026-01-18
3499,Ecran 24 pouces,Informatique,Beni Mellal,2015,2,4030,2026-05-17
3500,Disque SSD 1To,Stockage,Settat,1078,1,1078,2026-03-11
3501,Projecteur,Bureautique,Beni Mellal,5221,3,15663,2026-02-11
3502,Ordinateur portable,Informatique,Errachidia,9095,2,18190,2026-01-10
3503,Onduleur,Bureautique,Casablanca,1446,14,20244,2026-05-31
3504,Onduleur,Bureautique,Tanger,1497,8,11976,2026-05-06
3505,Switch 24 ports,Reseau,Marrakech,1920,13,24960,2026-03-12
3506,Ecran 24 pouces,Informatique,Meknes,2096,11,23056,2026-02-18
3507,Webcam HD,Accessoires,Errachidia,427,7,2989,2026-01-23
3508,Onduleur,Bureautique,Tanger,1496,8,11968,2026-04-23
3509,Clavier mecanique,Accessoires,Taza,422,6,2532,2026-04-10
3510,Ordinateur portable,Informatique,Kenitra,8495,2,16990,2026-05-11
3511,Webcam HD,Accessoires,Fes,433,19,8227,2026-01-20
3512,Webcam HD,Accessoires,Tetouan,417,1,417,2026-01-08
3513,Routeur WiFi,Reseau,Casablanca,699,16,11184,2026-04-29
3514,Clavier mecanique,Accessoires,Casablanca,396,6,2376,2026-02-23
3515,Casque audio,Accessoires,Rabat,367,13,4771,2026-05-01
3516,Tablette graphique,Informatique,El Jadida,1544,15,23160,2026-01-02
3517,Souris sans fil,Accessoires,Agadir,125,9,1125,2026-02-20
3518,Serveur NAS,Stockage,Meknes,6783,4,27132,2026-01-15
3519,Clavier mecanique,Accessoires,Kenitra,399,3,1197,2026-03-29
3520,Imprimante laser,Bureautique,Settat,2120,13,27560,2026-05-24
3521,Projecteur,Bureautique,Dakhla,4786,4,19144,2026-02-15
3522,Tablette graphique,Informatique,Meknes,1514,15,22710,2026-02-07
3523,Scanner,Bureautique,Nador,1351,9,12159,2026-05-29
3524,Souris sans fil,Accessoires,Mohammedia,109,20,2180,2026-02-16
3525,Tablette graphique,Informatique,Meknes,1595,13,20735,2026-04-08
3526,Ecran 24 pouces,Informatique,Meknes,1861,17,31637,2026-01-22
3527,Webcam HD,Accessoires,Safi,391,8,3128,2026-01-05
3528,Webcam HD,Accessoires,Dakhla,408,1,408,2026-01-30
3529,Casque audio,Accessoires,Mohammedia,340,16,5440,2026-01-18
3530,Ecran 24 pouces,Informatique,Laayoune,1711,6,10266,2026-02-28
3531,Casque audio,Accessoires,Casablanca,383,16,6128,2026-02-21
3532,Souris sans fil,Accessoires,Nador,108,12,1296,2026-03-27
3533,Routeur WiFi,Reseau,Agadir,710,6,4260,2026-03-30
3534,Tablette graphique,Informatique,Errachidia,1399,1,1399,2026-05-02
3535,Disque SSD 1To,Stockage,Rabat,1051,18,18918,2026-04-20
3536,Scanner,Bureautique,Safi,1148,1,1148,2026-02-08
3537,Onduleur,Bureautique,Safi,1238,7,8666,2026-02-08
3538,Onduleur,Bureautique,Settat,1496,8,11968,2026-05-07
3539,Ordinateur portable,Informatique,El Jadida,8175,12,98100,2026-04-16
3540,Projecteur,Bureautique,Safi,4962,12,59544,2026-01-07
3541,Routeur WiFi,Reseau,Taza,759,9,6831,2026-01-09
3542,Projecteur,Bureautique,Fes,4876,16,78016,2026-05-09
3543,Clavier mecanique,Accessoires,Dakhla,460,2,920,2026-04-23
3544,Webcam HD,Accessoires,Mohammedia,369,14,5166,2026-03-19
3545,Clavier mecanique,Accessoires,Settat,425,16,6800,2026-03-19
3546,Casque audio,Accessoires,Marrakech,410,11,4510,2026-04-30
3547,Onduleur,Bureautique,Laayoune,1312,8,10496,2026-02-10
3548,Clavier mecanique,Accessoires,Tanger,464,20,9280,2026-01-14
3549,Disque SSD 1To,Stockage,Tanger,1039,7,7273,2026-05-07
3550,Serveur NAS,Stockage,Laayoune,7357,10,73570,2026-01-23
3551,Scanner,Bureautique,Casablanca,1443,8,11544,2026-03-20
3552,Projecteur,Bureautique,Meknes,4692,18,84456,2026-03-28
3553,Projecteur,Bureautique,Beni Mellal,5927,4,23708,2026-05-21
3554,Ordinateur portable,Informatique,Marrakech,9936,14,139104,2026-03-31
3555,Clavier mecanique,Accessoires,Tetouan,466,6,2796,2026-01-05
3556,Tablette graphique,Informatique,Agadir,1451,9,13059,2026-01-01
3557,Onduleur,Bureautique,Oujda,1402,2,2804,2026-02-12
3558,Switch 24 ports,Reseau,Safi,1877,15,28155,2026-03-09
3559,Webcam HD,Accessoires,Casablanca,463,4,1852,2026-05-14
3560,Webcam HD,Accessoires,Settat,374,18,6732,2026-04-28
3561,Scanner,Bureautique,Beni Mellal,1308,11,14388,2026-05-13
3562,Switch 24 ports,Reseau,El Jadida,2122,9,19098,2026-04-23
3563,Routeur WiFi,Reseau,Nador,854,7,5978,2026-03-30
3564,Disque SSD 1To,Stockage,Safi,1211,20,24220,2026-01-28
3565,Souris sans fil,Accessoires,Kenitra,132,8,1056,2026-03-08
3566,Clavier mecanique,Accessoires,Agadir,536,9,4824,2026-01-02
3567,Clavier mecanique,Accessoires,Agadir,499,8,3992,2026-05-15
3568,Clavier mecanique,Accessoires,Kenitra,512,20,10240,2026-01-11
3569,Ordinateur portable,Informatique,Safi,9188,13,119444,2026-04-16
3570,Projecteur,Bureautique,Errachidia,5263,16,84208,2026-02-23
3571,Clavier mecanique,Accessoires,Dakhla,401,16,6416,2026-05-02
3572,Souris sans fil,Accessoires,Beni Mellal,105,3,315,2026-01-25
3573,Imprimante laser,Bureautique,Mohammedia,2312,15,34680,2026-01-03
3574,Clavier mecanique,Accessoires,Taza,413,10,4130,2026-02-08
3575,Imprimante laser,Bureautique,Dakhla,2234,18,40212,2026-03-03
3576,Disque SSD 1To,Stockage,Nador,1145,16,18320,2026-03-03
3577,Disque SSD 1To,Stockage,Rabat,1020,15,15300,2026-05-21
3578,Projecteur,Bureautique,Oujda,5479,16,87664,2026-05-10
3579,Disque SSD 1To,Stockage,Nador,1114,1,1114,2026-02-02
3580,Ecran 24 pouces,Informatique,Tetouan,1924,2,3848,2026-03-31
3581,Projecteur,Bureautique,Kenitra,4508,1,4508,2026-01-19
3582,Projecteur,Bureautique,Meknes,4788,1,4788,2026-02-08
3583,Ordinateur portable,Informatique,Casablanca,8891,17,151147,2026-05-12
3584,Disque SSD 1To,Stockage,Taza,1079,1,1079,2026-04-15
3585,Casque audio,Accessoires,Laayoune,382,12,4584,2026-01-22
3586,Switch 24 ports,Reseau,Safi,2141,7,14987,2026-04-10
3587,Clavier mecanique,Accessoires,Casablanca,416,17,7072,2026-01-06
3588,Switch 24 ports,Reseau,Beni Mellal,2115,10,21150,2026-03-22
3589,Casque audio,Accessoires,Tanger,350,5,1750,2026-03-03
3590,Projecteur,Bureautique,Kenitra,4577,10,45770,2026-01-21
3591,Imprimante laser,Bureautique,Rabat,2748,1,2748,2026-04-17
3592,Casque audio,Accessoires,Laayoune,327,7,2289,2026-04-18
3593,Ordinateur portable,Informatique,Mohammedia,7309,12,87708,2026-03-06
3594,Ordinateur portable,Informatique,Tetouan,9593,20,191860,2026-01-31
3595,Switch 24 ports,Reseau,Nador,1907,7,13349,2026-01-12
3596,Ecran 24 pouces,Informatique,Casablanca,1668,9,15012,2026-01-31
3597,Disque SSD 1To,Stockage,El Jadida,1178,19,22382,2026-04-22
3598,Webcam HD,Accessoires,Fes,478,2,956,2026-01-03
3599,Routeur WiFi,Reseau,Tanger,760,15,11400,2026-02-25
3600,Disque SSD 1To,Stockage,Safi,1168,20,23360,2026-04-16
3601,Switch 24 ports,Reseau,Rabat,2454,15,36810,2026-04-17
3602,Ordinateur portable,Informatique,Meknes,8097,3,24291,2026-02-22
3603,Ecran 24 pouces,Informatique,Dakhla,1667,19,31673,2026-04-27
3604,Casque audio,Accessoires,Kenitra,326,10,3260,2026-04-12
3605,Switch 24 ports,Reseau,Fes,1851,2,3702,2026-05-27
3606,Routeur WiFi,Reseau,Tanger,720,8,5760,2026-05-20
3607,Disque SSD 1To,Stockage,Rabat,1191,1,1191,2026-02-13
3608,Ecran 24 pouces,Informatique,Tetouan,1926,9,17334,2026-01-29
3609,Onduleur,Bureautique,Errachidia,1427,11,15697,2026-03-08
3610,Webcam HD,Accessoires,Marrakech,385,1,385,2026-05-23
3611,Souris sans fil,Accessoires,El Jadida,102,7,714,2026-02-13
3612,Disque SSD 1To,Stockage,El Jadida,1243,12,14916,2026-02-05
3613,Tablette graphique,Informatique,Nador,1824,14,25536,2026-02-26
3614,Ordinateur portable,Informatique,Rabat,8599,14,120386,2026-01-02
3615,Casque audio,Accessoires,Tanger,417,19,7923,2026-03-19
3616,Routeur WiFi,Reseau,Mohammedia,830,9,7470,2026-04-07
3617,Souris sans fil,Accessoires,El Jadida,107,12,1284,2026-05-21
3618,Webcam HD,Accessoires,Fes,360,14,5040,2026-01-28
3619,Ecran 24 pouces,Informatique,Nador,1838,6,11028,2026-05-06
3620,Scanner,Bureautique,Laayoune,1436,15,21540,2026-04-14
3621,Onduleur,Bureautique,Tetouan,1500,8,12000,2026-03-31
3622,Disque SSD 1To,Stockage,El Jadida,982,7,6874,2026-04-10
3623,Serveur NAS,Stockage,Tanger,5529,8,44232,2026-04-17
3624,Souris sans fil,Accessoires,Dakhla,137,6,822,2026-01-03
3625,Webcam HD,Accessoires,Kenitra,445,2,890,2026-05-10
3626,Casque audio,Accessoires,Mohammedia,388,7,2716,2026-04-08
3627,Clavier mecanique,Accessoires,Rabat,461,9,4149,2026-03-07
3628,Tablette graphique,Informatique,Taza,1456,17,24752,2026-01-01
3629,Routeur WiFi,Reseau,Dakhla,702,18,12636,2026-05-13
3630,Serveur NAS,Stockage,Oujda,6608,9,59472,2026-01-19
3631,Disque SSD 1To,Stockage,Rabat,935,17,15895,2026-05-08
3632,Ecran 24 pouces,Informatique,Meknes,1637,20,32740,2026-05-29
3633,Clavier mecanique,Accessoires,Dakhla,421,15,6315,2026-04-08
3634,Scanner,Bureautique,Rabat,1204,10,12040,2026-02-02
3635,Projecteur,Bureautique,Dakhla,5529,3,16587,2026-01-20
3636,Souris sans fil,Accessoires,Kenitra,116,4,464,2026-02-10
3637,Routeur WiFi,Reseau,Kenitra,669,19,12711,2026-03-07
3638,Switch 24 ports,Reseau,Tanger,2127,9,19143,2026-01-23
3639,Disque SSD 1To,Stockage,Dakhla,1301,7,9107,2026-03-29
3640,Scanner,Bureautique,Nador,1365,1,1365,2026-05-20
3641,Imprimante laser,Bureautique,Laayoune,2594,2,5188,2026-01-23
3642,Casque audio,Accessoires,Errachidia,338,19,6422,2026-01-21
3643,Tablette graphique,Informatique,Meknes,1467,20,29340,2026-05-26
3644,Disque SSD 1To,Stockage,El Jadida,1226,5,6130,2026-04-03
3645,Imprimante laser,Bureautique,Safi,2234,4,8936,2026-01-16
3646,Scanner,Bureautique,Casablanca,1424,3,4272,2026-03-13
3647,Scanner,Bureautique,Errachidia,1135,11,12485,2026-05-30
3648,Casque audio,Accessoires,El Jadida,383,13,4979,2026-03-24
3649,Switch 24 ports,Reseau,Nador,2203,9,19827,2026-04-16
3650,Switch 24 ports,Reseau,Safi,2127,8,17016,2026-04-30
3651,Switch 24 ports,Reseau,Fes,1950,3,5850,2026-03-19
3652,Ordinateur portable,Informatique,Safi,9046,20,180920,2026-04-22
3653,Scanner,Bureautique,Kenitra,1249,10,12490,2026-04-10
3654,Disque SSD 1To,Stockage,Laayoune,1306,13,16978,2026-03-21
3655,Serveur NAS,Stockage,Laayoune,5957,13,77441,2026-03-01
